year,sex,name,n,prop
1880,F,Body Weight,636,0.00651612638826278
1880,F,Body Fat,241,0.00246916109995492
1880,F,Body Mass Index,117,0.00119872136387853
1881,F,Body Weight,612,0.00619088564058469
1881,F,Body Fat,263,0.0026604622932578
1881,F,Body Mass Index,112,0.00113297253553184
1882,F,Body Weight,838,0.00724311990042871
1882,F,Body Fat,288,0.00248928225694925
1882,F,Body Mass Index,123,0.00106313096390541
1883,F,Body Weight,862,0.0071798032633955
1883,F,Body Fat,287,0.00239049134175697
1883,F,Body Mass Index,120,0.000999508574950649
1884,F,Body Weight,986,0.00716642681668193
1884,F,Body Fat,337,0.00244937711685782
1884,F,Body Mass Index,144,0.00104661811521521
1885,F,Body Weight,1134,0.00798878470436565
1885,F,Body Fat,339,0.0023881816708818
1885,F,Body Mass Index,155,0.0010919414719371
1886,F,Body Weight,1267,0.00824140084300359
1886,F,Body Fat,370,0.0024067232138211
1886,F,Body Mass Index,167,0.00108627777488682
1887,F,Body Weight,1405,0.00903990426065808
1887,F,Body Fat,338,0.00217472429900529
1887,F,Body Mass Index,178,0.00114526900953533
1888,F,Body Weight,1847,0.0097494286000834
1888,F,Body Fat,404,0.0021325225524817
1888,F,Body Mass Index,214,0.00112960353027496
1889,F,Body Weight,1909,0.010088838858677
1889,F,Body Fat,413,0.00218265607576406
1889,F,Body Mass Index,189,0.000998842610942876
1890,F,Body Weight,2312,0.0114647849608997
1890,F,Body Fat,392,0.00194385627364736
1890,F,Body Mass Index,216,0.00107110447731589
1891,F,Body Weight,2417,0.0122960619025574
1891,F,Body Fat,371,0.00188739717246537
1891,F,Body Mass Index,239,0.00121587041568524
1892,F,Body Weight,2936,0.0130538203321255
1892,F,Body Fat,455,0.00202298646155214
1892,F,Body Mass Index,255,0.00113376164328746
1893,F,Body Weight,3249,0.0144251260922071
1893,F,Body Fat,387,0.00171822831569226
1893,F,Body Mass Index,298,0.00132308020174753
1894,F,Body Weight,3676,0.0155781194378994
1894,F,Body Fat,418,0.00177139660637703
1894,F,Body Mass Index,298,0.00126286169545539
1895,F,Body Weight,4023,0.0162803967512049
1895,F,Body Fat,431,0.00174418369370354
1895,F,Body Mass Index,350,0.00141639047052491
1896,F,Body Weight,4392,0.0174290555690039
1896,F,Body Fat,367,0.00145638966161758
1896,F,Body Mass Index,342,0.00135718055660276
1897,F,Body Weight,4519,0.0182015909777464
1897,F,Body Mass Index,367,0.00147819957708186
1897,F,Body Fat,354,0.00142583828416071
1898,F,Body Weight,5230,0.0190774258971497
1898,F,Body Mass Index,421,0.00153567806934991
1898,F,Body Fat,371,0.00135329350054351
1899,F,Body Weight,5048,0.0203967837084327
1899,F,Body Mass Index,410,0.00165663259121581
1899,F,Body Fat,326,0.00131722493838135
1900,F,Body Weight,6343,0.0199606639918181
1900,F,Body Mass Index,664,0.00208952875462198
1900,F,Body Fat,377,0.00118637400676579
1901,F,Body Weight,5247,0.0206386292834891
1901,F,Body Mass Index,474,0.00186443878032663
1901,F,Body Fat,317,0.00124689260203279
1902,F,Body Weight,5967,0.0212853998637335
1902,F,Body Mass Index,580,0.00206896797736977
1902,F,Body Fat,301,0.00107372303653155
1903,F,Body Weight,6129,0.0220310713951934
1903,F,Body Mass Index,596,0.00214235903924543
1903,F,Body Fat,247,0.000887856850157082
1904,F,Body Weight,6488,0.0221858992333418
1904,F,Body Mass Index,707,0.00241760646701181
1904,F,Body Fat,294,0.00100534130311382
1905,F,Body Weight,6811,0.0219801852389712
1905,F,Body Mass Index,807,0.0026043179397812
1905,F,Body Fat,311,0.00100364669054765
1906,F,Body Weight,7176,0.0228942608018734
1906,F,Body Mass Index,865,0.00275969002140754
1906,F,Body Fat,260,0.000829502202966427
1907,F,Body Weight,7579,0.0224607551721379
1907,F,Body Mass Index,1018,0.00301689520586309
1907,F,Body Fat,285,0.000844612115590354
1908,F,Body Weight,8439,0.0238031438540277
1908,F,Body Mass Index,1128,0.00318165022720029
1908,F,Body Fat,260,0.000733359094922052
1909,F,Body Weight,9250,0.0251291775559769
1909,F,Body Mass Index,1082,0.00293943460708833
1909,F,Body Fat,271,0.000736216985694027
1910,F,Body Weight,10479,0.0249781896712004
1910,F,Body Mass Index,1389,0.00331087942106091
1910,F,Body Fat,278,0.000662652612710535
1911,F,Body Weight,11802,0.0267127194372267
1911,F,Body Mass Index,1456,0.00329551936117625
1911,F,Body Fat,280,0.000633753723303124
1912,F,Body Weight,16133,0.0274974944947061
1912,F,Body Mass Index,2011,0.00342759941913183
1912,F,Body Fat,310,0.000528371864709532
1913,F,Body Weight,18889,0.0288423952212843
1913,F,Body Mass Index,2239,0.00341882168989653
1913,F,Body Fat,346,0.000528321708219831
1914,F,Body Weight,23221,0.0291498453442597
1914,F,Body Mass Index,2933,0.00368186109102595
1914,F,Body Fat,375,0.000470745962882622
1915,F,Body Weight,30866,0.0301460519864594
1915,F,Body Mass Index,4182,0.00408445504462428
1915,F,Body Fat,412,0.000402390119173889
1916,F,Body Weight,32661,0.0300826741628504
1916,F,Body Mass Index,5136,0.00473055370320565
1916,F,Body Fat,421,0.000387765402852332
1917,F,Body Weight,34249,0.0304787212268021
1917,F,Body Mass Index,6639,0.00590815002554058
1917,F,Body Fat,445,0.000396012465938478
1918,F,Body Weight,36150,0.030065795437817
1918,F,Body Mass Index,8802,0.00732058454892574
1918,F,Body Fat,397,0.000330183147685017
1919,F,Body Weight,33705,0.0286936534286809
1919,F,Body Mass Index,10107,0.00860426510024262
1919,F,Body Fat,379,0.000322649299791427
1920,F,Body Weight,35098,0.0282129645557451
1920,F,Body Mass Index,14017,0.011267340708242
1920,F,Body Fat,379,0.000304653073298404
1921,F,Body Weight,34819,0.0272091247740648
1921,F,Body Mass Index,17637,0.013782341067813
1921,F,Body Fat,392,0.000306326342268112
1922,F,Body Weight,32507,0.0260570679205567
1922,F,Body Mass Index,20893,0.0167474796217489
1922,F,Body Fat,341,0.000273339900972401
1923,F,Body Weight,31492,0.0251449997444938
1923,F,Body Mass Index,25990,0.020751890745567
1923,F,Body Fat,362,0.000289041340896316
1924,F,Body Weight,31193,0.0240739483034863
1924,F,Body Mass Index,30602,0.0236178298330807
1924,F,Body Fat,341,0.000263174955005572
1925,F,Body Mass Index,32817,0.0259824266099572
1925,F,Body Weight,29168,0.023093379021825
1925,F,Body Fat,310,0.000245438408419012
1926,F,Body Mass Index,32959,0.026793386320163
1926,F,Body Weight,26884,0.0218548316948713
1926,F,Body Fat,310,0.000252008548780319
1927,F,Body Mass Index,35422,0.0286505094035013
1927,F,Body Weight,25316,0.0204764354372717
1927,F,Body Fat,234,0.000189267099554494
1928,F,Body Mass Index,36078,0.0301810713703117
1928,F,Body Weight,22936,0.0191871238136667
1928,F,Body Fat,247,0.000206627990145434
1929,F,Body Mass Index,36669,0.0316800016587745
1929,F,Body Weight,20983,0.0181281593391166
1929,F,Body Fat,209,0.000180564518985625
1930,F,Body Mass Index,38239,0.0327853532062582
1930,F,Body Weight,19914,0.0170738650003772
1930,F,Body Fat,196,0.00016804647685417
1931,F,Body Mass Index,36102,0.0327140362625423
1931,F,Body Weight,17657,0.0159999927507537
1931,F,Body Fat,209,0.00018938655971612
1932,F,Body Mass Index,34411,0.0311083227035339
1932,F,Body Weight,16375,0.0148033705579718
1932,F,Body Fat,213,0.00019255682008232
1933,F,Body Mass Index,31526,0.0301434985810775
1933,F,Body Weight,14645,0.0140027766516488
1933,F,Body Fat,199,0.000190273305133363
1934,F,Body Mass Index,31078,0.0287181174191951
1934,F,Body Weight,14099,0.0130284039350419
1934,F,Body Fat,189,0.000174648439160431
1935,F,Body Mass Index,28673,0.0263859454097216
1935,F,Body Weight,12778,0.0117587838888649
1935,F,Body Fat,211,0.000194169932739903
1936,F,Body Mass Index,25863,0.0240043659489396
1936,F,Body Weight,12232,0.0113529522594992
1936,F,Body Fat,192,0.000178201997533016
1937,F,Body Mass Index,25328,0.0229894447152324
1937,F,Body Weight,11452,0.0103946273246542
1937,F,Body Fat,176,0.00015974977376346
1938,F,Body Mass Index,25502,0.0223441268906687
1938,F,Body Weight,10833,0.00949156641073696
1938,F,Body Fat,192,0.000168224937769916
1939,F,Body Mass Index,23639,0.0208458076901709
1939,F,Body Weight,10417,0.00918612372386778
1939,F,Body Fat,185,0.000163140336845113
1940,F,Body Mass Index,22074,0.0186875852937491
1940,F,Body Weight,10201,0.00863604501139508
1940,F,Body Fat,218,0.000184556201596326
1941,F,Body Mass Index,20900,0.0167762608684484
1941,F,Body Weight,9889,0.00793782027407113
1941,F,Body Fat,223,0.000179000295390622
1942,F,Body Mass Index,21654,0.0155743276046218
1942,F,Body Weight,10013,0.00720170602683468
1942,F,Body Fat,295,0.000212174500940401
1943,F,Body Mass Index,21595,0.0150464003255234
1943,F,Body Weight,9799,0.00682749140031507
1943,F,Body Fat,284,0.000197878105693385
1944,F,Body Mass Index,19757,0.0144588558937201
1944,F,Body Weight,8693,0.00636183804647003
1944,F,Body Fat,238,0.000174176631204402
1945,F,Body Mass Index,18383,0.0136569862508924
1945,F,Body Weight,8300,0.00616618538227749
1945,F,Body Fat,280,0.00020801589241418
1946,F,Body Mass Index,19714,0.012223227356121
1946,F,Body Weight,8852,0.00548848577439298
1946,F,Body Fat,274,0.000169887607567067
1947,F,Body Mass Index,18962,0.0104313996020423
1947,F,Body Weight,8978,0.00493898880008098
1947,F,Body Fat,310,0.000170537595012821
1948,F,Body Mass Index,16622,0.00953869161195395
1948,F,Body Weight,8305,0.00476590264933688
1948,F,Body Fat,306,0.000175600988645043
1949,F,Body Mass Index,14946,0.00851381857807951
1949,F,Body Weight,7709,0.00439134399962632
