group,variable,value
A,Mon,30
A,Tue,95
A,Wed,22
A,Thu,14
A,Fri,59
A,Sat,52
A,Sun,88
B,Mon,37
B,Tue,50
B,Wed,81
B,Thu,79
B,Fri,84
B,Sat,91
B,Sun,82
C,Mon,96
C,Tue,13
C,Wed,98
C,Thu,10
C,Fri,86
C,Sat,23
C,Sun,74
D,Mon,75
D,Tue,18
D,Wed,92
D,Thu,43
D,Fri,16
D,Sat,27
D,Sun,76
E,Mon,44
E,Tue,29
E,Wed,58
E,Thu,55
E,Fri,65
E,Sat,56
E,Sun,9
F,Mon,35
F,Tue,80
F,Wed,8
F,Thu,46
F,Fri,48
F,Sat,100
F,Sun,17
G,Mon,77
G,Tue,62
G,Wed,94
G,Thu,15
G,Fri,69
G,Sat,63
G,Sun,61
H,Mon,39
H,Tue,26
H,Wed,90
H,Thu,83
H,Fri,31
H,Sat,2
H,Sun,51
I,Mon,5
I,Tue,60
I,Wed,21
I,Thu,25
I,Fri,3
I,Sat,70
I,Sun,34
J,Mon,19
J,Tue,85
J,Wed,53
J,Thu,45
J,Fri,71
J,Sat,64
J,Sun,4
K,Mon,30
K,Tue,95
K,Wed,22
K,Thu,14
K,Fri,59
K,Sat,52
K,Sun,88
